x y z intensity
1.042695 1.452513 -1.454623 32.000000
1.062973 1.442848 -1.465385 10.000000
1.041381 1.377368 -1.418974 18.000000
1.053955 1.358566 -1.419951 21.000000
1.059206 1.330600 -1.411263 20.000000
1.061560 1.299744 -1.399232 25.000000
1.056135 1.260305 -1.377348 21.000000
1.030105 1.198050 -1.329571 24.000000
0.938798 1.065606 -1.201155 46.000000
0.674663 0.746246 -0.854608 31.000000
0.620288 0.669507 -0.779114 32.000000
0.627832 0.660205 -0.780981 47.000000
0.634643 0.651123 -0.783105 69.000000
0.636691 0.636291 -0.778359 55.000000
0.643336 0.627067 -0.780356 91.000000
0.655444 0.622961 -0.788892 87.000000
0.653761 0.605772 -0.780911 84.000000
0.660234 0.596333 -0.782755 95.000000
0.646910 0.569420 -0.761391 30.000000
0.633176 0.543038 -0.739851 95.000000
0.644794 0.538673 -0.748100 95.000000
0.650700 0.529335 -0.749680 95.000000
0.653584 0.517617 -0.747817 95.000000
0.653439 0.503646 -0.742597 92.000000
0.661521 0.496660 -0.747609 95.000000
0.664110 0.484914 -0.745578 98.000000
0.660081 0.469104 -0.737040 36.000000
0.664960 0.459781 -0.738544 95.000000
0.670240 0.450190 -0.739680 98.000000
0.675018 0.440700 -0.741050 95.000000
0.682834 0.433112 -0.745776 100.000000
0.687466 0.423444 -0.747052 98.000000
0.692065 0.413709 -0.748260 95.000000
0.696194 0.404074 -0.749704 100.000000
0.687887 0.387037 -0.737161 81.000000
0.666567 0.363308 -0.710811 82.000000
0.670281 0.354009 -0.712017 95.000000
0.674312 0.344519 -0.712905 95.000000
0.684416 0.338315 -0.720850 100.000000
0.687973 0.328766 -0.721875 95.000000
0.691434 0.319121 -0.722868 98.000000
0.688276 0.306497 -0.716904 98.000000
0.698227 0.299734 -0.724663 82.000000
0.701527 0.289961 -0.725464 95.000000
0.690994 0.274914 -0.712620 98.000000
0.697475 0.266520 -0.716743 100.000000
0.703542 0.258064 -0.721094 100.000000
0.703161 0.247032 -0.718164 100.000000
0.709128 0.238418 -0.722395 103.000000
0.701403 0.225282 -0.712664 100.000000
0.703812 0.215523 -0.713290 98.000000
0.699299 0.203756 -0.706888 93.000000
0.697796 0.193166 -0.704177 98.000000
0.703450 0.184365 -0.708096 95.000000
0.698329 0.172918 -0.701764 100.000000
0.696869 0.162415 -0.698547 98.000000
0.702040 0.153535 -0.702561 98.000000
0.700165 0.143127 -0.699493 98.000000
0.712216 0.135455 -0.710357 98.000000
0.713703 0.125605 -0.710667 95.000000
0.711327 0.115215 -0.707690 98.000000
0.723237 0.106948 -0.718388 100.000000
0.713670 0.095551 -0.708276 100.000000
0.718132 0.086142 -0.712123 98.000000
0.719278 0.076199 -0.712092 100.000000
0.716506 0.065961 -0.708769 95.000000
0.727616 0.056962 -0.719702 95.000000
0.699853 0.045090 -0.691646 52.000000
0.707535 0.035800 -0.698668 86.000000
0.711334 0.026215 -0.702362 98.000000
0.697257 0.016090 -0.688434 93.000000
0.725841 0.006755 -0.716596 98.000000
0.700965 -0.003156 -0.692007 91.000000
0.725810 -0.013260 -0.716534 100.000000
0.725717 -0.023253 -0.716378 100.000000
0.725530 -0.033213 -0.716160 98.000000
0.725032 -0.043206 -0.716160 100.000000
0.717307 -0.052676 -0.709077 44.000000
0.727585 -0.063468 -0.719170 98.000000
0.726865 -0.073478 -0.718983 100.000000
0.718690 -0.082704 -0.711968 98.000000
0.717823 -0.092585 -0.711627 100.000000
0.720394 -0.102971 -0.714697 100.000000
0.719117 -0.112932 -0.714511 100.000000
0.714508 -0.122198 -0.710450 98.000000
0.709571 -0.131397 -0.706642 91.000000
0.711596 -0.141898 -0.709738 100.000000
0.713514 -0.152433 -0.712767 98.000000
0.708406 -0.161474 -0.708747 98.000000
0.706393 -0.171294 -0.708437 100.000000
0.708098 -0.181912 -0.711242 98.000000
0.702490 -0.190808 -0.707322 98.000000
0.700600 -0.200441 -0.706548 95.000000
0.694899 -0.209132 -0.702481 70.000000
0.699445 -0.220915 -0.708814 95.000000
0.697017 -0.230565 -0.708098 98.000000
0.691122 -0.239037 -0.703884 95.000000
0.688272 -0.248670 -0.703326 100.000000
0.692426 -0.260723 -0.709348 98.000000
0.696117 -0.273027 -0.715605 95.000000
0.679940 -0.277167 -0.700786 95.000000
0.673508 -0.285203 -0.696533 95.000000
0.690244 -0.303354 -0.716365 98.000000
0.690214 -0.314476 -0.718884 98.000000
0.676943 -0.319423 -0.707559 100.000000
0.676755 -0.330418 -0.709952 95.000000
0.669997 -0.338189 -0.705422 100.000000
0.669332 -0.349306 -0.707962 95.000000
0.668916 -0.360325 -0.710176 98.000000
0.661626 -0.367973 -0.705782 57.000000
0.676545 -0.388227 -0.725135 98.000000
0.659981 -0.390121 -0.710146 100.000000
0.658813 -0.401312 -0.712358 100.000000
0.657540 -0.412528 -0.714495 98.000000
0.653065 -0.421768 -0.713207 100.000000
0.654672 -0.434996 -0.718602 95.000000
0.643502 -0.440184 -0.710760 98.000000
0.644922 -0.453490 -0.716002 77.000000
0.631128 -0.456010 -0.704443 88.000000
0.616995 -0.458403 -0.693116 95.000000
0.609299 -0.464801 -0.688196 95.000000
0.607014 -0.475807 -0.690211 95.000000
0.601739 -0.484493 -0.688789 98.000000
0.605012 -0.500262 -0.697298 77.000000
0.812483 -0.726372 -0.956474 13.000000
0.976626 -0.895791 -1.158169 20.000000
1.060475 -0.997689 -1.266916 21.000000
1.071572 -1.033877 -1.289867 18.000000
1.068706 -1.057197 -1.296296 15.000000
1.072559 -1.089162 -1.312935 17.000000
1.055917 -1.099054 -1.302809 11.000000
1.053781 -1.125714 -1.312591 10.000000
1.037017 -1.135221 -1.302359 9.000000
1.034392 -1.161952 -1.311931 10.000000
1.030067 -1.185532 -1.317598 13.000000
1.024308 -1.209520 -1.323647 13.000000
1.008500 -1.221742 -1.316796 11.000000
0.999877 -1.242707 -1.319398 12.000000
1.002843 -1.278880 -1.337852 10.000000
0.984141 -1.287701 -1.327532 10.000000
0.979336 -1.314840 -1.336204 9.000000
0.971851 -1.338985 -1.341520 10.000000
1.017746 1.437561 -1.400070 34.000000
1.049198 1.444303 -1.426312 35.000000
1.048439 1.406662 -1.408722 35.000000
1.062552 1.387367 -1.409360 30.000000
1.058357 1.347036 -1.388286 32.000000
1.074111 1.334781 -1.395953 26.000000
1.076297 1.303878 -1.384096 22.000000
1.048077 1.237775 -1.333905 32.000000
0.636829 0.679804 -0.780102 69.000000
0.638501 0.665126 -0.775851 81.000000
0.645966 0.655711 -0.777653 68.000000
0.652770 0.646444 -0.779749 95.000000
0.651907 0.628919 -0.771750 71.000000
0.658480 0.619586 -0.773711 98.000000
0.659429 0.605016 -0.769081 95.000000
0.665839 0.595582 -0.770918 61.000000
0.638032 0.556240 -0.733394 95.000000
0.644014 0.547114 -0.735068 81.000000
0.655730 0.542688 -0.743218 100.000000
0.658699 0.530949 -0.741508 100.000000
0.658594 0.516906 -0.736380 95.000000
0.664277 0.507514 -0.737810 100.000000
0.672451 0.500425 -0.742793 95.000000
0.678022 0.490820 -0.744160 98.000000
0.670883 0.472723 -0.732416 94.000000
0.676254 0.463156 -0.733591 95.000000
0.690376 0.459876 -0.745057 103.000000
0.695208 0.450179 -0.746453 103.000000
0.696866 0.438472 -0.744460 98.000000
0.701575 0.428682 -0.745747 103.000000
0.696639 0.413198 -0.736873 100.000000
0.704352 0.405249 -0.741379 100.000000
0.673344 0.375579 -0.705362 59.000000
0.680763 0.367891 -0.709731 95.000000
0.691031 0.361884 -0.717719 98.000000
0.688550 0.348857 -0.711813 100.000000
0.695467 0.340956 -0.716330 103.000000
0.692415 0.328157 -0.710560 98.000000
0.695859 0.318558 -0.711549 98.000000
0.702617 0.310405 -0.715883 98.000000
0.702620 0.299200 -0.713303 75.000000
0.699118 0.286703 -0.707267 100.000000
0.712486 0.280989 -0.718254 100.000000
0.701681 0.266050 -0.705516 103.000000
0.701278 0.255061 -0.702686 103.000000
0.703874 0.245396 -0.703499 103.000000
0.702993 0.234580 -0.700845 100.000000
0.708942 0.226002 -0.704969 103.000000
0.707880 0.215156 -0.702122 95.000000
0.699771 0.202392 -0.692379 100.000000
0.705502 0.193690 -0.696317 100.000000
0.707690 0.183981 -0.696718 98.000000
0.709509 0.174272 -0.697365 103.000000
0.711266 0.164563 -0.697950 100.000000
0.713239 0.154761 -0.698166 100.000000
0.707764 0.143555 -0.691711 100.000000
0.709290 0.133850 -0.692078 90.000000
0.710754 0.124115 -0.692383 98.000000
0.719002 0.115555 -0.699831 100.000000
0.720359 0.105691 -0.700016 100.000000
0.717774 0.095354 -0.696949 100.000000
0.718694 0.085539 -0.697256 100.000000
0.716248 0.075317 -0.693787 105.000000
0.727766 0.066504 -0.704379 103.000000
0.728230 0.056592 -0.704782 95.000000
0.700156 0.044781 -0.677067 98.000000
0.707909 0.035561 -0.683981 98.000000
0.700960 0.025648 -0.677216 100.000000
0.704704 0.016150 -0.680838 100.000000
0.701198 0.006487 -0.677424 98.000000
0.704824 -0.003110 -0.680868 100.000000
0.704794 -0.012740 -0.680808 103.000000
0.737063 -0.023398 -0.711913 103.000000
0.729686 -0.033144 -0.704751 103.000000
0.725568 -0.042905 -0.701279 98.000000
0.739338 -0.053845 -0.715103 98.000000
0.728199 -0.063004 -0.704255 103.000000
0.723872 -0.072588 -0.700601 100.000000
0.719246 -0.082104 -0.697133 103.000000
0.707665 -0.090547 -0.686396 103.000000
0.724606 -0.102745 -0.703295 103.000000
0.698364 -0.108773 -0.678864 105.000000
0.722252 -0.122507 -0.702552 98.000000
0.727929 -0.133693 -0.709161 95.000000
0.726396 -0.143671 -0.708754 100.000000
0.731904 -0.155086 -0.715195 100.000000
0.722893 -0.163566 -0.708035 98.000000
0.721172 -0.173450 -0.707409 100.000000
0.719389 -0.183304 -0.706752 98.000000
0.706766 -0.190361 -0.695978 100.000000
0.715041 -0.203042 -0.705782 98.000000
0.691897 -0.206634 -0.684579 91.000000
0.703450 -0.220482 -0.697689 98.000000
0.697611 -0.229013 -0.693543 103.000000
0.695146 -0.238568 -0.692803 100.000000
0.696047 -0.249321 -0.695396 103.000000
0.699964 -0.261505 -0.701622 100.000000
0.693873 -0.269755 -0.697266 100.000000
0.687436 -0.277973 -0.693104 98.000000
0.701162 -0.294531 -0.709382 98.000000
0.694538 -0.302780 -0.705087 100.000000
0.691221 -0.312351 -0.704171 103.000000
0.691196 -0.323445 -0.706589 100.000000
0.684399 -0.331365 -0.702150 98.000000
0.687471 -0.344071 -0.707818 98.000000
0.676976 -0.350285 -0.700160 100.000000
0.676597 -0.361340 -0.702336 98.000000
0.679001 -0.374332 -0.708064 98.000000
0.684443 -0.389300 -0.717107 103.000000
0.680121 -0.398822 -0.715969 103.000000
0.675733 -0.408313 -0.714767 100.000000
0.668129 -0.415777 -0.710182 100.000000
0.663665 -0.425061 -0.708856 103.000000
0.652885 -0.430215 -0.700854 98.000000
0.654477 -0.443467 -0.706106 98.000000
0.634083 -0.442073 -0.688315 62.000000
0.638562 -0.457420 -0.696785 89.000000
0.636419 -0.468678 -0.698847 98.000000
0.634583 -0.479763 -0.700542 95.000000
0.617341 -0.479534 -0.685959 92.000000
