x y z intensity
0.719256 1.001950 -1.003406 30.000000
0.759922 1.031496 -1.047608 30.000000
0.740848 0.979872 -1.009471 30.000000
0.758564 0.977802 -1.021983 30.000000
0.790810 0.993434 -1.053658 30.000000
0.823498 1.008268 -1.085446 30.000000
0.851801 1.016470 -1.110868 30.000000
0.887936 1.032702 -1.146070 30.000000
0.923656 1.048419 -1.181782 30.000000
0.958328 1.060009 -1.213932 30.000000
0.969200 1.046104 -1.217365 30.000000
0.999299 1.050826 -1.243062 30.000000
1.023363 1.049936 -1.262758 30.000000
0.987138 0.986519 -1.206784 30.000000
0.905537 0.882636 -1.098401 30.000000
0.914891 0.869550 -1.101161 30.000000
0.924092 0.856260 -1.103819 30.000000
0.938814 0.847951 -1.113032 30.000000
0.945051 0.831848 -1.112292 30.000000
0.948345 0.813340 -1.108118 30.000000
0.954296 0.797237 -1.107188 30.000000
0.965927 0.785768 -1.112858 30.000000
0.965787 0.764872 -1.105034 30.000000
0.947781 0.730514 -1.077100 30.000000
0.970033 0.728285 -1.096270 30.000000
0.978216 0.714265 -1.098216 30.000000
0.967516 0.687591 -1.080319 30.000000
0.971631 0.671826 -1.079150 30.000000
0.982406 0.659868 -1.084188 30.000000
0.977081 0.637908 -1.072661 30.000000
0.977694 0.620137 -1.067816 30.000000
0.981202 0.604369 -1.066247 30.000000
0.984620 0.588594 -1.064571 30.000000
0.990495 0.574887 -1.066624 30.000000
0.945845 0.532176 -1.013596 30.000000
0.974214 0.530989 -1.038877 30.000000
0.960306 0.507186 -1.020101 30.000000
0.953113 0.486964 -1.007664 30.000000
0.980997 0.484918 -1.033218 30.000000
0.966438 0.461838 -1.014063 30.000000
0.971300 0.448289 -1.015458 30.000000
0.966234 0.430274 -1.006423 30.000000
0.977518 0.419628 -1.014528 30.000000
0.978798 0.404565 -1.012195 30.000000
0.986176 0.392353 -1.017040 30.000000
0.980509 0.374673 -1.007595 30.000000
0.987665 0.362282 -1.012305 30.000000
0.985104 0.346083 -1.006123 30.000000
0.988689 0.332410 -1.007185 30.000000
0.992229 0.318692 -1.008159 30.000000
