x y z intensity
0.432006 0.601800 -0.602675 89.000000
0.440801 0.598330 -0.607676 81.000000
0.430997 0.570052 -0.587271 31.000000
0.444268 0.572669 -0.598544 91.000000
0.452918 0.568967 -0.603458 95.000000
0.461548 0.565106 -0.608362 81.000000
0.480061 0.572866 -0.626067 91.000000
0.488863 0.568566 -0.630983 52.000000
0.497159 0.564313 -0.636096 91.000000
0.516219 0.570992 -0.653905 91.000000
0.514322 0.555133 -0.646015 35.000000
0.494418 0.519911 -0.615023 35.000000
0.518292 0.531750 -0.639536 39.000000
0.529684 0.529351 -0.647542 33.000000
0.548728 0.534851 -0.665598 71.000000
0.565321 0.537304 -0.680419 34.000000
0.573765 0.531648 -0.685356 36.000000
0.587803 0.530913 -0.696883 36.000000
0.587844 0.517429 -0.691872 22.000000
1.059156 0.838817 -1.211865 52.000000
1.142047 0.880247 -1.297872 27.000000
1.150987 0.864143 -1.300773 21.000000
1.169671 0.854060 -1.313158 13.000000
1.169459 0.831107 -1.305806 15.000000
1.172030 0.810390 -1.301725 21.000000
1.175215 0.789375 -1.296973 24.000000
1.149689 0.750599 -1.262153 26.000000
1.061496 0.673292 -1.159343 36.000000
0.693030 0.402237 -0.746296 95.000000
0.687887 0.387037 -0.737161 66.000000
0.721046 0.393002 -0.768906 78.000000
0.725063 0.382942 -0.770210 95.000000
0.722940 0.369364 -0.764317 95.000000
0.733303 0.362480 -0.772339 98.000000
0.740390 0.353815 -0.776875 95.000000
0.734237 0.338876 -0.767617 95.000000
0.734603 0.327126 -0.765157 100.000000
0.748100 0.321144 -0.776424 76.000000
0.734933 0.303769 -0.760010 95.000000
0.724537 0.288259 -0.747213 100.000000
0.734539 0.280683 -0.754830 100.000000
0.740749 0.271712 -0.759229 98.000000
0.740527 0.260159 -0.756327 98.000000
0.743221 0.249880 -0.757126 100.000000
0.742461 0.238470 -0.754381 98.000000
0.748444 0.229190 -0.758523 98.000000
0.740637 0.215800 -0.748675 95.000000
0.735795 0.203685 -0.742523 98.000000
0.741568 0.194355 -0.746466 95.000000
0.743495 0.184102 -0.747152 100.000000
0.745650 0.173784 -0.747446 100.000000
0.747446 0.163465 -0.748001 98.000000
0.749176 0.153146 -0.748458 95.000000
0.757826 0.144130 -0.755848 95.000000
0.762924 0.134267 -0.759679 100.000000
0.760627 0.123201 -0.756738 100.000000
0.772629 0.114252 -0.767449 100.000000
0.766665 0.102646 -0.760871 100.000000
0.767659 0.092083 -0.761235 100.000000
0.772427 0.081830 -0.764710 100.000000
0.773259 0.071185 -0.764909 98.000000
0.773758 0.060574 -0.765342 95.000000
0.767351 0.049438 -0.758353 75.000000
0.764422 0.038679 -0.754842 87.000000
0.771798 0.028443 -0.762063 95.000000
0.764848 0.017650 -0.755170 98.000000
0.764979 0.007119 -0.755236 95.000000
0.768570 -0.003461 -0.758749 96.000000
0.772062 -0.014106 -0.762195 100.000000
0.771963 -0.024734 -0.762030 98.000000
0.771764 -0.035330 -0.761798 100.000000
0.767681 -0.045747 -0.758287 100.000000
0.763470 -0.056066 -0.754711 84.000000
0.780823 -0.068112 -0.771793 87.000000
0.780051 -0.078854 -0.771591 98.000000
0.775335 -0.089223 -0.768084 95.000000
0.770864 -0.099427 -0.764211 98.000000
0.773364 -0.110543 -0.767249 98.000000
0.768469 -0.120682 -0.763546 98.000000
0.767304 -0.131227 -0.762947 98.000000
0.762261 -0.141155 -0.759116 95.000000
0.760672 -0.151684 -0.758685 100.000000
0.765979 -0.163642 -0.765177 100.000000
0.785179 -0.178974 -0.785557 103.000000
0.751630 -0.182263 -0.753805 100.000000
0.780991 -0.200638 -0.784458 98.000000
0.782082 -0.212427 -0.787462 100.000000
0.776527 -0.222164 -0.783119 98.000000
0.770581 -0.231909 -0.778989 95.000000
0.778304 -0.245822 -0.788729 76.000000
0.782435 -0.258820 -0.794875 98.000000
0.776235 -0.268475 -0.790569 95.000000
0.779816 -0.281744 -0.796872 98.000000
0.780245 -0.293790 -0.799314 98.000000
0.776826 -0.304682 -0.798574 95.000000
0.767026 -0.312667 -0.790542 95.000000
0.760197 -0.321912 -0.786185 87.000000
0.763251 -0.335440 -0.792134 81.000000
0.772776 -0.352093 -0.804875 95.000000
0.762383 -0.359739 -0.796863 98.000000
0.758489 -0.370323 -0.795695 95.000000
0.751307 -0.379231 -0.791031 95.000000
0.756637 -0.394868 -0.800305 95.000000
0.752531 -0.405365 -0.798948 95.000000
0.751121 -0.417747 -0.801250 62.000000
0.762305 -0.437439 -0.817053 80.000000
0.748400 -0.442386 -0.805285 100.000000
0.749792 -0.456732 -0.810731 98.000000
0.744796 -0.467271 -0.809309 95.000000
0.745917 -0.481735 -0.814611 95.000000
0.740732 -0.492179 -0.813066 73.000000
0.731946 -0.500684 -0.808447 88.000000
0.729700 -0.513103 -0.810124 54.000000
0.748337 -0.540698 -0.835269 54.000000
0.739202 -0.549198 -0.830400 95.000000
0.736483 -0.561823 -0.831849 95.000000
0.733109 -0.574646 -0.833588 95.000000
0.723831 -0.582796 -0.828544 95.000000
0.726015 -0.600315 -0.836757 74.000000
0.725111 -0.615544 -0.841577 95.000000
0.721234 -0.628395 -0.842983 41.000000
0.714425 -0.638706 -0.841038 51.000000
0.713048 -0.654029 -0.845595 86.000000
0.708815 -0.666849 -0.846799 86.000000
0.709849 -0.684878 -0.854455 84.000000
0.702600 -0.695034 -0.852225 79.000000
0.702620 -0.713496 -0.860087 77.000000
0.710967 -0.740012 -0.877203 74.000000
0.707725 -0.756035 -0.881543 35.000000
0.705068 -0.771837 -0.885475 32.000000
0.688748 -0.773683 -0.873547 95.000000
0.690899 -0.795174 -0.883755 72.000000
0.682045 -0.805370 -0.881363 78.000000
0.670701 -0.812518 -0.875733 68.000000
0.671415 -0.834475 -0.885972 58.000000
0.674120 -0.859675 -0.899316 47.000000
0.657660 -0.860516 -0.887134 31.000000
0.652891 -0.876560 -0.890803 31.000000
0.650182 -0.895800 -0.897496 36.000000
0.431977 0.610165 -0.594252 95.000000
0.440801 0.606797 -0.599238 95.000000
0.433355 0.581420 -0.582272 95.000000
0.423601 0.553093 -0.561861 47.000000
0.446382 0.568138 -0.585536 55.000000
0.442281 0.549616 -0.574804 91.000000
0.465492 0.563920 -0.598613 95.000000
0.469139 0.554052 -0.597081 89.000000
0.485332 0.558721 -0.611455 95.000000
0.501754 0.563033 -0.625809 67.000000
0.512614 0.561497 -0.634068 72.000000
0.482208 0.514749 -0.590695 30.000000
0.490136 0.510574 -0.595570 32.000000
0.506588 0.514230 -0.609861 47.000000
0.539009 0.533786 -0.643859 58.000000
0.545082 0.525861 -0.645286 53.000000
0.561645 0.528470 -0.659930 69.000000
0.575603 0.528108 -0.671317 41.000000
0.592484 0.529967 -0.685986 35.000000
1.134082 0.890098 -1.268027 35.000000
1.167698 0.892133 -1.296957 29.000000
1.185796 0.882445 -1.309836 21.000000
1.180485 0.854553 -1.295636 13.000000
1.189293 0.838010 -1.298373 21.000000
1.192667 0.816839 -1.293787 24.000000
1.195000 0.796019 -1.289651 27.000000
1.172189 0.759045 -1.258592 28.000000
0.728113 0.406128 -0.762736 81.000000
0.732631 0.395921 -0.763805 92.000000
0.736666 0.385782 -0.765116 98.000000
0.734453 0.372114 -0.759268 100.000000
0.738315 0.361963 -0.760464 98.000000
0.742109 0.351709 -0.761558 98.000000
0.745801 0.341421 -0.762617 100.000000
0.752804 0.332577 -0.767017 95.000000
0.763132 0.324969 -0.774736 69.000000
0.732891 0.300554 -0.741434 100.000000
0.743021 0.293031 -0.749036 100.000000
0.735743 0.278965 -0.739764 103.000000
0.742328 0.269992 -0.743818 103.000000
0.748510 0.260957 -0.748111 100.000000
0.747792 0.249529 -0.745507 103.000000
0.750441 0.239231 -0.746235 103.000000
0.766870 0.233086 -0.760632 76.000000
0.738066 0.213469 -0.730270 98.000000
0.740428 0.203279 -0.730788 100.000000
0.746228 0.194000 -0.734658 98.000000
0.748146 0.183762 -0.735340 100.000000
0.753519 0.174339 -0.739413 98.000000
0.759140 0.164721 -0.743098 100.000000
0.753768 0.152886 -0.736673 100.000000
0.755393 0.142550 -0.737063 62.000000
0.764061 0.133424 -0.744311 100.000000
